Attraction,Noel,Harsh,Vikranth,Muthuraj,Armaan
Bangaram Island,3.851401116106911,4.8,3.3285052888600117,4.4921121447160175,3.8333779100820955
Kadmat Island,2.930011547501908,4.0015556635155285,1.3897497561757066,4.7,3.5568078344327425
Minicoy Island,1.7982260026662444,2.6988739375619857,1.0001593459162932,3.211254003444917,1.3746871083127077
Kavaratti Island,4.7,4.40720630113589,1.4968236474674175,4.7,4.132008294599661
Kalpeni Island,2.8869398522126595,3.9933830419999055,1.6997395661358448,4.6,3.453008212930107
Amindivi Islands,4.632117521436211,5.123553061998984,4.8,4.555127618161787,4.8
Andrott Island,4.5904197351883465,4.517861610769422,2.194577493600034,4.40212168270817,4.7
Bitra Island,3.1265630544549996,4.088149906058727,1.0673671953383586,4.8,3.794137970238155
Chetlat Island,4.7,3.6267716751785484,-0.4839387390996791,4.7,4.7
Pitti Bird Sanctuary,2.222722654205231,4.000777457880966,4.8,3.334171756861373,2.5557519290478683
Suheli Par,2.8851059793149214,3.6800745574755873,0.4019314630463061,4.7,4.7
Kalpeni Beach,1.7989347561626394,2.695662673461518,0.9941780351201155,3.208388825788591,1.373927829927745
Thinnakara Island,4.8,4.345374732826135,1.8048859361247667,4.8,5.006894921376735
Parali I,3.7747114058489073,4.7,3.3531289860106597,4.380998020406658,3.6645953300438405
Parali II,4.6,4.589774072959843,4.6,4.072896498616183,4.6
Parali III,1.0904116984723928,3.360558207429239,4.8,2.7653101219629224,1.0665591036181232
Bandra Island,3.6056051652895285,4.7,2.6303115755847677,4.7,3.825450609535551
Cheriyam Island,1.8014565203001873,2.6945466019104085,0.9897672707089277,3.2104852228833756,1.3765480636131608
Pitli Island,4.7,4.713742290285287,4.7,4.320073316396874,3.3328981962351936
Urali Island,3.696470395915258,4.6,3.043021295567142,4.371967226575418,3.6237893213955124
Amini Island,4.7,4.611728558947172,4.7,3.7888509283371055,3.463420437497496
Agatti Beach,3.5785667345855305,4.480174402189614,2.6602089670690274,4.709125797181453,4.9
Bangaram Beach,1.801798267906753,2.6972428013290752,0.990758275390229,3.2132168848644387,1.3814255497089767
Kadmat Beach,2.957788756803708,4.077650099453156,1.8006701578736408,4.7,3.563617197552844
Minicoy Beach,1.5850771103613963,3.5380884608604015,4.8,3.105203592883587,2.279894223602216
Kavaratti Beach,3.78939912180347,4.7,3.192089411628771,4.451193361621462,3.7489978798087362
Kalpeni Beach,1.3627569767069112,3.319564884634448,0.1915898261457455,4.6,3.270113600021779
Amindivi Beach,4.8,4.8,3.264538572884817,4.324901192796973,3.5271444218656978
Andrott Beach,3.1714406350856668,4.323622895876083,2.4299088135266373,4.686748824429924,4.7
Sultan Qaboos Grand Mosque,1.8004869666859273,2.7003566724259684,0.9950318982753972,3.214067813227848,1.3747006772601102
Royal Opera House,4.8,4.597876793268071,1.7597412608094616,4.8,4.035565150575391
Muttrah Souq,3.495240138259156,4.570162905777598,2.6557210348160836,4.708865123685598,4.7
Al Jalali and Al Mirani Forts,4.8,5.14912066172524,4.8,3.718093159021573,2.1884637975336227
Nizwa Fort,1.7970761315259218,3.5718706026323854,0.7021280878888883,4.7,3.383691818854344
Jebel Akhdar,3.8043450421570957,5.0236902880159535,4.9,4.9,3.946890975188124
Wadi Shab,3.458501680482893,4.8,3.8069703317844956,4.598226306213218,4.8
Wahiba Sands,1.8022584764299394,2.695960665702335,1.0014063674322553,3.2066406804350054,1.373561980466886
Al Alam Palace,1.8011196339162387,2.7002488448461617,0.9948741166767534,3.2129230899391574,1.375409275562227
Bimmah Sinkhole,1.7973737468701163,2.696982829417625,0.9957729681530595,3.2120147664203076,1.3738664442557906
Ras Al Jinz Turtle Reserve,2.023689079283232,3.8113452243643904,0.8484604944181152,4.9,4.047166574906752
Qurum Beach,4.147745210383217,4.7,3.4897771942454354,4.501394677988937,3.8796373380839038
Bahla Fort,3.5456016484006696,4.10792700185519,1.4059120615627454,4.683749851663315,4.7
Majlis Al Jinn Cave,3.624758194094094,4.478015063091549,1.6550537010609405,4.8,4.8
Salalah Beach,1.7970963033367588,2.693060712798239,0.9850100464953284,3.2103460346965353,1.371063804582176
Al Bustan Palace,2.749565001767156,5.019412456182425,4.9,4.9,3.361223257967771
Wadi Bani Khalid,3.9402464470737204,4.8,2.7602442953114883,4.8,4.108677264738667
Mirbat Castle,1.8067484719276727,2.700101512782039,0.9981197110378864,3.2138808454781542,1.3830159180925377
Musandam Fjords,3.9917621322433092,4.3344110674537415,1.0247809802100618,4.959157174344718,4.9
Nakhal Fort,4.036859010700432,4.418681190876576,4.8,3.646243512703947,3.302511212091388
Al Hazm Castle,2.7154418613932654,5.3678671035872085,4.7,4.7,3.654946964907622
Jebel Shams,1.794700436166541,2.697227557035025,0.997962176638387,3.2129782209697253,1.3822809551665516
Sumhuram Archaeological Park,3.055826684099254,4.177766973858908,1.7970323888964004,4.8,3.7388104108089966
Wadi Al Arbeieen,3.772170428808171,4.7,2.8390697232382394,4.7,3.960827890109731
Jabrin Castle,4.8,4.8,4.8,3.920057270385718,4.8
Seeb Corniche,3.0428432919898083,4.085518007598675,2.285339602042606,4.485195017041648,4.7
Taqah Castle,4.8,4.209601236782415,2.280148391997104,4.278224114562028,3.902220133662686
Aflaj Irrigation Systems,2.009240664229367,3.694713260500664,1.2216156864131817,4.7,3.5932117339118177
Wadi Dayqah Dam,1.8044817508344073,2.7014153257092106,0.9935861700936388,3.2168000263365424,1.384356203928714
Qurum Natural Park,3.660610472606068,3.993766271123597,4.8,3.47843258566984,2.2001120398203957
Al Baleed Archaeological Park,4.462595080980406,5.198604381647258,4.7,4.7,5.156420005732648
Al Hoota Cave,1.8006351032405659,2.6974209649781637,0.9981764934641972,3.210037672197551,1.3760132197279862
